Chemical,Date,Reading
AGOC-3A,2016-04-01,0.5777275929357798
AGOC-3A,2016-04-02,0.9729813847867301
AGOC-3A,2016-04-03,0.45360813791666676
AGOC-3A,2016-04-04,0.4117527837499999
AGOC-3A,2016-04-05,0.4522445787037036
AGOC-3A,2016-04-06,1.671248299052131
AGOC-3A,2016-04-07,0.6482826272811059
AGOC-3A,2016-04-08,0.8930371996380096
AGOC-3A,2016-04-09,0.5049942408333332
AGOC-3A,2016-04-10,0.5099019169444445
AGOC-3A,2016-04-11,0.5609220389814816
AGOC-3A,2016-04-12,0.6956808983181819
AGOC-3A,2016-04-13,0.4924611236574073
AGOC-3A,2016-04-14,0.5954566776497702
AGOC-3A,2016-04-15,2.3782874313513522
AGOC-3A,2016-04-16,1.0529150390454547
AGOC-3A,2016-04-17,1.0850153320454545
AGOC-3A,2016-04-18,0.40988330870370365
AGOC-3A,2016-04-19,0.6861499948165138
AGOC-3A,2016-04-20,0.41637122592592607
AGOC-3A,2016-04-21,1.3973652215765757
AGOC-3A,2016-04-22,1.0296290204484304
AGOC-3A,2016-04-23,0.5075921829166669
AGOC-3A,2016-04-24,0.44280472407407423
AGOC-3A,2016-04-25,0.5278455069585253
AGOC-3A,2016-04-26,0.45246170537037006
AGOC-3A,2016-04-27,0.4838064220370375
AGOC-3A,2016-04-28,0.471870949675926
AGOC-3A,2016-04-29,0.5051711877777777
AGOC-3A,2016-04-30,0.419108095925926
AGOC-3A,2016-08-01,1.6815872306250002
AGOC-3A,2016-08-02,0.8975412823809514
AGOC-3A,2016-08-03,0.821505370504587
AGOC-3A,2016-08-04,0.5955960156730769
AGOC-3A,2016-08-05,0.5764983424423963
AGOC-3A,2016-08-06,1.115638004298643
AGOC-3A,2016-08-07,0.5694839922705317
AGOC-3A,2016-08-08,1.0393627516666664
AGOC-3A,2016-08-09,0.9079908858715594
AGOC-3A,2016-08-10,0.9777200831818181
AGOC-3A,2016-08-11,1.4184020301793727
AGOC-3A,2016-08-12,1.5855853417647054
AGOC-3A,2016-08-13,2.5913254024778745
AGOC-3A,2016-08-14,1.0008395210313896
AGOC-3A,2016-08-15,0.5949080518518518
AGOC-3A,2016-08-16,1.0582933548636364
AGOC-3A,2016-08-17,0.9452178774885844
AGOC-3A,2016-08-18,1.302101953632288
AGOC-3A,2016-08-19,0.5705088431481481
AGOC-3A,2016-08-20,0.9979378454545453
AGOC-3A,2016-08-21,1.2719776395964122
AGOC-3A,2016-08-22,0.7485929155045871
AGOC-3A,2016-08-23,0.9465010231651387
AGOC-3A,2016-08-24,0.8757273558823532
AGOC-3A,2016-08-25,0.9144133430593611
AGOC-3A,2016-08-26,0.6052241000000003
AGOC-3A,2016-08-27,0.612527314351852
AGOC-3A,2016-08-28,0.6106747087962965
